EXDAY	FIRSTOFMONTH
21-JUN-13	01-JUN-13
19-JUL-13	01-JUL-13
16-AUG-13	01-AUG-13
20-SEP-13	01-SEP-13
18-OCT-13	01-OCT-13
15-NOV-13	01-NOV-13
20-DEC-13	01-DEC-13
17-JAN-14	01-JAN-14
21-FEB-14	01-FEB-14
21-MAR-14	01-MAR-14
18-APR-14	01-APR-14
16-MAY-14	01-MAY-14
20-JUN-14	01-JUN-14
18-JUL-14	01-JUL-14
15-AUG-14	01-AUG-14
19-SEP-14	01-SEP-14
17-OCT-14	01-OCT-14
21-NOV-14	01-NOV-14
19-DEC-14	01-DEC-14
16-JAN-15	01-JAN-15
20-FEB-15	01-FEB-15
20-MAR-15	01-MAR-15
17-APR-15	01-APR-15
15-MAY-15	01-MAY-15
19-JUN-15	01-JUN-15
17-JUL-15	01-JUL-15
21-AUG-15	01-AUG-15
18-SEP-15	01-SEP-15
16-OCT-15	01-OCT-15
20-NOV-15	01-NOV-15
18-DEC-15	01-DEC-15
15-JAN-16	01-JAN-16
19-FEB-16	01-FEB-16
18-MAR-16	01-MAR-16
15-APR-16	01-APR-16
20-MAY-16	01-MAY-16
17-JUN-16	01-JUN-16
15-JUL-16	01-JUL-16
19-AUG-16	01-AUG-16
16-SEP-16	01-SEP-16
21-OCT-16	01-OCT-16
18-NOV-16	01-NOV-16
16-DEC-16	01-DEC-16
20-JAN-17	01-JAN-17
17-FEB-17	01-FEB-17
17-MAR-17	01-MAR-17
21-APR-17	01-APR-17
19-MAY-17	01-MAY-17
16-JUN-17	01-JUN-17
21-JUL-17	01-JUL-17
18-AUG-17	01-AUG-17
15-SEP-17	01-SEP-17
20-OCT-17	01-OCT-17
17-NOV-17	01-NOV-17
15-DEC-17	01-DEC-17
19-JAN-18	01-JAN-18
16-FEB-18	01-FEB-18
16-MAR-18	01-MAR-18
20-APR-18	01-APR-18
18-MAY-18	01-MAY-18
15-JUN-18	01-JUN-18
20-JUL-18	01-JUL-18
17-AUG-18	01-AUG-18
21-SEP-18	01-SEP-18
